month,capacity_month_mean,avgtemp_month_mean
1,346.3607198748044,4.415492957746479
2,346.5669014084507,5.087323943660803
3,346.773082942097,7.928169014084015
4,346.3607198748044,11.153521126755152
5,346.5669014084507,15.292253521111418
6,346.773082942097,19.052112676051603
7,346.3607198748044,21.518309859157633
8,346.5669014084507,21.132394366186546
9,346.5669014084507,17.53943661971169
10,346.5669014084507,12.980985915494925
11,346.5669014084507,8.36690140844972
12,346.773082942097,5.4422535211296506
