CampsiteCode,month,capacity_month_mean,avgtemp_month_mean
Electrike,10,279.0,15.5
Electrike,11,279.0,10.0
Electrike,12,279.0,7.0
Regigigas,1,610.0,0.5
Regigigas,2,610.0,1.8000000000000385
Regigigas,3,610.0,6.200000000000134
Regigigas,4,610.0,10.5
Regigigas,5,610.0,15.200000000000456
Regigigas,6,610.0,18.599999999999334
Regigigas,7,610.0,20.5
Regigigas,8,610.0,19.799999999999567
Regigigas,9,610.0,15.5
Regigigas,10,610.0,10.200000000000323
Regigigas,11,610.0,5.100000000000161
Regigigas,12,610.0,1.5
Charjabug1,1,530.0,0.5
Charjabug1,2,531.5,1.8000000000000385
Charjabug1,3,533.0,6.200000000000134
Charjabug1,4,530.0,10.5
Charjabug1,5,531.5,15.200000000000456
Charjabug1,6,533.0,18.599999999999334
Charjabug1,7,530.0,20.5
Charjabug1,8,531.5,19.799999999999567
Charjabug1,9,531.5,15.5
Charjabug1,10,531.5,10.200000000000323
Charjabug1,11,531.5,5.100000000000161
Charjabug1,12,533.0,1.5
Grumpig,1,785.7777777777778,0.5
Grumpig,2,787.0,1.8000000000000385
Grumpig,3,788.2222222222222,6.200000000000134
Grumpig,4,785.7777777777778,10.5
Grumpig,5,787.0,15.200000000000456
Grumpig,6,788.2222222222222,18.599999999999334
Grumpig,7,785.7777777777778,20.5
Grumpig,8,787.0,19.799999999999567
Grumpig,9,787.0,15.5
Grumpig,10,787.0,10.200000000000323
Grumpig,11,787.0,5.100000000000161
Grumpig,12,788.2222222222222,1.5
Darmanitan,1,374.6666666666667,6.5
Darmanitan,2,375.5,8.0
Darmanitan,3,376.3333333333333,11.0
Darmanitan,4,374.6666666666667,13.5
Darmanitan,5,375.5,17.5
Darmanitan,6,376.3333333333333,23.0
Darmanitan,7,374.6666666666667,27.0
Darmanitan,8,375.5,26.5
Darmanitan,9,375.5,22.0
Darmanitan,10,375.5,15.5
Darmanitan,11,375.5,10.0
Darmanitan,12,376.3333333333333,7.0
Kricketot,1,348.0,2.0
Kricketot,2,348.0,2.5
Kricketot,3,348.0,4.5
Kricketot,4,348.0,7.0
Kricketot,5,348.0,11.0
Kricketot,6,348.0,14.0
Kricketot,7,348.0,16.0
Kricketot,8,348.0,15.5
Kricketot,9,348.0,12.5
Kricketot,10,348.0,9.0
Kricketot,11,348.0,5.0
Kricketot,12,348.0,3.0
Skiploom,1,272.44444444444446,11.5
Skiploom,2,272.5,12.5
Skiploom,3,272.55555555555554,14.5
Skiploom,4,272.44444444444446,16.5
Skiploom,5,272.5,19.799999999999567
Skiploom,6,272.55555555555554,23.5
Skiploom,7,272.44444444444446,26.80000000000072
Skiploom,8,272.5,27.0
Skiploom,9,272.5,24.0
Skiploom,10,272.5,19.5
Skiploom,11,272.5,15.0
Skiploom,12,272.55555555555554,12.0
Cobalion1,1,638.1111111111111,7.0
Cobalion1,2,638.5,8.0
Cobalion1,3,638.8888888888889,11.0
Cobalion1,4,638.1111111111111,14.0
Cobalion1,5,638.5,18.0
Cobalion1,6,638.8888888888889,22.5
Cobalion1,7,638.1111111111111,25.5
Cobalion1,8,638.5,25.0
Cobalion1,9,638.5,21.0
Cobalion1,10,638.5,16.0
Cobalion1,11,638.5,10.5
Cobalion1,12,638.8888888888889,7.5
Lampent,1,221.0,11.5
Lampent,2,221.0,12.5
Lampent,3,221.0,14.5
Lampent,4,221.0,16.5
Lampent,5,221.0,19.799999999999567
Lampent,6,221.0,23.5
Lampent,7,221.0,26.80000000000072
Lampent,8,221.0,27.0
Lampent,9,221.0,24.0
Lampent,10,221.0,19.5
Lampent,11,221.0,15.0
Lampent,12,221.0,12.0
Sizzlipede,1,202.0,6.0
Sizzlipede,2,202.0,6.200000000000061
Sizzlipede,3,202.0,8.5
Sizzlipede,4,202.0,10.799999999999613
Sizzlipede,5,202.0,13.799999999999573
Sizzlipede,6,202.0,16.5
Sizzlipede,7,202.0,18.20000000000032
Sizzlipede,8,202.0,18.5
Sizzlipede,9,202.0,16.5
Sizzlipede,10,202.0,13.0
Sizzlipede,11,202.0,9.200000000000278
Sizzlipede,12,202.0,6.799999999999813
Chimchar,1,540.2222222222222,7.0
Chimchar,2,540.5,8.0
Chimchar,3,540.7777777777778,11.0
Chimchar,4,540.2222222222222,14.0
Chimchar,5,540.5,18.0
Chimchar,6,540.7777777777778,22.5
Chimchar,7,540.2222222222222,25.5
Chimchar,8,540.5,25.0
Chimchar,9,540.5,21.0
Chimchar,10,540.5,16.0
Chimchar,11,540.5,10.5
Chimchar,12,540.7777777777778,7.5
Houndour,1,259.0,12.0
Houndour,2,259.0,12.5
Houndour,3,259.0,14.0
Houndour,4,259.0,17.0
Houndour,5,259.0,21.0
Houndour,6,259.0,25.5
Houndour,7,259.0,28.0
Houndour,8,259.0,28.0
Houndour,9,259.0,25.0
Houndour,10,259.0,21.0
Houndour,11,259.0,17.0
Houndour,12,259.0,13.5
